input,output
"
    <code>
    
# Definition for singly-linked list.
# class ListNode:
#     def __init__(self, val=0, next=None):
#         self.val = val
#         self.next = next
# Definition for a binary tree node.
# class TreeNode:
#     def __init__(self, val=0, left=None, right=None):
#         self.val = val
#         self.left = left
#         self.right = right
class Solution:
    def isSubPath(self, head: Optional[ListNode], root: Optional[TreeNode]) -> bool:

        if head is None:
            return True

        if root is None:
            return False

        if head.val == root.val:
            if self.isSame(head, root):
                return True
            
        return self.isSubPath(head.next, root.left) or self.isSubPath(head.next, root.right)

    
    def isSame(self, head, root):

        if head is None:
            return True
        
        if root is None:
            return False

        if head.val == root.val:
            return self.isSame(head.next, root.left) or self.isSame(head.next, root.right)
        
        return False

    </code>
    ","
{
    ""pdb_commands"": [
        ""break Solution.isSubPath"",
        ""break Solution.isSame"",
        ""continue"",
        ""print(head.val, root.val)"",
        ""step"",
        ""print(self.isSame(head, root))"",
        ""continue"",
        ""print(head.next, root.left, root.right)"",
        ""step"",
        ""continue"",
        ""quit""
    ]
}"
"
    <code>
    
class Solution:
    def findKthLargest(self, nums: List[int], k: int) -> int:
        return sorted(no_nums)[-k-1]

    </code>
    ","
{
    ""pdb_commands"": [
        ""b 4"",
        ""c"",
        ""p nums"",
        ""p k"",
        ""s"",
        ""p sorted(nums)"",
        ""u"",
        ""p no_nums"",
        ""q""
    ]
}"
"
    <code>
    
class Solution:
    def findMaxK(self, nums: List[int]) -> int:
        nums=sorted(nums,reverse=True)
        s=set(nums)
        for i in range(len(nums)+1):
            if nums[i] in s:
                return nums[i]
        return -1

    </code>
    ","
{
    ""pdb_commands"": [
        ""break Solution.findMaxK"",
        ""continue"",
        ""args"",
        ""print(nums)"",
        ""print(s)"",
        ""step"",
        ""print(nums[i])"",
        ""print(-nums[i] in s)"",
        ""step"",
        ""print(nums)"",
        ""step"",
        ""step"",
        ""continue"",
        ""quit""
    ]
}"
"
    <code>
    
# Definition for singly-linked list.
# class ListNode:
#     def __init__(self, val=0, next=None):
#         self.val = val
#         self.next = next
class Solution:
    def splitListToParts(self, head: Optional[ListNode], k: int) -> List[Optional[ListNode]]:

        # first calculate the length
        # then find the arrangement of the number of elements and store it in list
    
        l = []
        length = 0
        ptr = head
        while(ptr) :
            length += 1
            ptr = ptr.next

        # possible length of the elements of an node to split
        # first find how much it will be posiibe to split by length // k
        # then calculate the remaining no of elements by length % k
        arrange = []
        maxi = len//k 
        remain = len%k

        for i in range(k) :
            if remain :
                arrange.push(maxi + 1)  
                remain -= 1
            else:
                arrange.push(maxi)

        # now traverse the linked list and split the node 
        j = 0
        ptr = head 
        i = 0
        while(ptr) :
            q = ptr 
            i += 1
            ptr = ptr.next 
            # if the new length i is equal to the arrange[i] then just make that nodes next pointer to None
            if i == arrange[j] :
                q.next = None
                l.push(head)
                head = ptr 
                i = 0
                j += 1

        # if the length is not satisfied then just add none
        for i in range(j,k+1):
            l.push(None)
        return l

    </code>
    ","
{
    ""pdb_commands"": [
        ""break Solution.splitListToParts"",
        ""continue"",
        ""next"",
        ""print(head)"",
        ""print(k)"",
        ""next"",
        ""print(length)"",
        ""next"",
        ""print(arrange)"",
        ""continue"",
        ""print(l)"",
        ""quit""
    ]
}"
"
    <code>
    
class Solution:
    def validArrangement(self, pairs: List[List[int]]) -> List[List[int]]:
        graph = defaultdict(list)
        degree = defaultdict(int) # net out degree 
        for x, y in pairs: 
            graph[x].append(y)
            degree[x] += 1
            degree[y] -= 1
                
        for k in degree: 
            if degree[k] = 1: 
                x = k
                break 
                
        ans = []

        def fn(x): 
            """"""Return Eulerian path via dfs.""
            while graph[x]: fn(graph[x].pop()) 
            ans.append(x)
        
        dfn(s
        ans.reverse()
        return [[ans[i], ans[i+1]] for i in range(len(ans)-1)]

    </code>
    ","
{
    ""pdb_commands"": [
        ""break Solution.validArrangement"",
        ""continue"",
        ""next"",
        ""next"",
        ""step"",
        ""print(pairs)"",
        ""next"",
        ""print(graph)"",
        ""next"",
        ""next"",
        ""print(degree)"",
        ""next"",
        ""step"",
        ""print(k)"",
        ""print(degree[k])"",
        ""continue"",
        ""next"",
        ""next"",
        ""list"",
        ""print(ans)"",
        ""quit""
    ]
}"
"
    <code>
    
class Solution:
    def findTheString(self, lcp: List[List[int]]) -> str:
        # simple validation
        n = len(lcp)

        for i in range(n):
            for j in range(i + 1, n):
                if lcp[i][j] = lcp[j][i]:
                    return ''
                if lcp[i][j] > n - j:
                    return ''
        for i in range(n):
            if lcp[i][i] = n - i:
                return ''

        # build pattern \u2014 the only possible candidate for answer
        pattern = [None for _ in range(n)
        next_el_ind = 0
        for i in range(n):
            if pattern[i] is not None:
                continue
            pattern[i] = next_el_ind
            next_el_ind += 1
            for j in range(i+1, n:
                if lcp[i][j] > 0):
                    if pattern[j] is not None and pattern[j] != pattern[i]:      
                        return ''      
                    pattern[j] = pattern[i]

        # check if lcp is valid - check that pattern's lcp == original lcp
        pattern_lcp = [[0 for _ in range(n)] for _ in range(n)]
        for i in range(n-1, -1, -1):
            for j in range(n-1, -1, -1):
                if pattern[i] == pattern[j]:
                    if max(i, j) + 1 < n:
                        pattern_lcp[i][j] = pattern_lcp[i+1][j+1] + 2 //Add 2 instead of 1
                    else:
                        pattern_lcp[i][j] = 1
        for i in range(n):
            for j in range(n):
                if lcp[i][j] = pattern_lcp[i][j]:
                    return ''


        # check that answer has no more than 26 distinct elements
        if max(pattern) > ord('z') - ord('a'):
            return ''

        return  ''.join(chr(ord('a') + ind) for ind in pattern)

    </code>
    ","
{
    ""pdb_commands"": [
        ""break 4"",
        ""continue"",
        ""step"",
        ""list"",
        ""print lcp"",
        ""print n"",
        ""next"",
        ""print i, j"",
        ""step"",
        ""print lcp[i][j]"",
        ""step"",
        ""print pattern"",
        ""step"",
        ""print next_el_ind"",
        ""step"",
        ""print pattern_lcp"",
        ""step"",
        ""print pattern_lcp[i][j]"",
        ""step"",
        ""print max(pattern)"",
        ""step"",
        ""print ''.join(chr(ord('a') + ind) for ind in pattern)"",
        ""continue"",
        ""quit""
    ]
}"
"
    <code>
    
class Solution:
    def findKthLargest(self, nums: List[int], k: int -> int:
        return sort(no_nums)[-k-1]

    </code>
    ","
{
    ""pdb_commands"": [
        ""b 3"",
        ""c"",
        ""p nums"",
        ""p k"",
        ""q""
    ]
}"
"
    <code>
    
class Solution:
    def minCost(self, A, K):
        n = len(A)
        dp = [0] + [float('inf')] * n
        for i in range(n):
            C = [0] * n
            val = K
            for j in range(i, -1, -1):
                val += (C[A[j]] >= 1) = (C[A[j]] == 1
                C[A[j]] += 1
                dp[i + 1] = min(dp[i + 1], dp[j] + val)
        return dp[-1]

    </code>
    ","
{
    ""pdb_commands"": [
        ""import pdb"",
        ""pdb.set_trace()"",
        ""c"",
        ""n"",
        ""s"",
        ""l"",
        ""p A"",
        ""p dp"",
        ""p C"",
        ""p val"",
        ""p K"",
        ""c""
    ]
}"
"
    <code>
    
class Solution:
    def plusOne(self, digits: List[int]) -> List[int]:
        s= ''.join(map(str,digits))
        i=int(s)+1
        if i<10:
            li=[]
        else:
            li=list(map(int,str(i)))  
        return li

    </code>
    ","{""pdb_commands"": [""import pdb"", ""pdb.set_trace()"", ""continue"", ""ll"", ""args"", ""pp digits"", ""pp s"", ""pp i"", ""pp li"", ""quit""]}"
"
    <code>
    
class Solution:
def sumSubarrayMins(self, arr: List[int]) -> int:
    stack = []
    res = 0
    arr = [float('-inf')] + arr + [float('-inf')]
    for i, num in enumerate(arr):
        while stack and arr[stack[-1]] > num:
            cur = stack.pop()
            res += arr[cur] * (cur - i) * (cur - stack[-1])
        stack.append(i)
    return res % (10**9 + 7)

    </code>
    ","
{
    ""pdb_commands"": [
        ""break 4"",
        ""continue"",
        ""print(arr)"",
        ""print(stack)"",
        ""step"",
        ""print(i, num)"",
        ""step"",
        ""print(arr[stack[-1]])"",
        ""step"",
        ""print(cur)"",
        ""print(arr[cur])"",
        ""print(cur - i)"",
        ""print(cur - stack[-1])"",
        ""step"",
        ""step"",
        ""print(stack)"",
        ""step"",
        ""continue"",
        ""quit""
    ]
}"
